,text,label,
321,"Enormous 24/7 fitness center with individual workout stations, virtual personal trainers, Yoga Studio, and Spin-Bike Room",gym,
345,Spin-bike room,gym,
346,24-hour fitness center,gym,
377,"Stretch Zone, Cardio & Weight Lifting Equipment",gym,
393,Cardio Theater w/ Wireless entertainment system,gym,
439,"24-hour fitness center with individual workout stations, free weights and wireless entertainment system, men's and women's steam rooms and showers",gym,
457,24-hour fitness center with Cardio Theater wireless entertainment,gym,
485,On-Demand Fitness Classroom,gym,
555,Spin Bikes,gym,
623,"3,000-Square-Foot Fitness Center w/ Hospitality Bar",gym,
692,State-Of-The-Art Fitness Center,gym,
695,state-of-the-art fitness center,gym,
705,24-Hour Fitness Center,gym,
723,24/7 Fitness Center with TV and Individual Workout Stations,gym,
733,Fitness center,gym,
747,Large Fitness room with state of the art cardio and strength training equipment,gym,
749,"Luxurious activity center with cable tv, coffee station & computers.",gym,
751,Multifunctional TRX Suspension Trainer,gym,
763,Fitness Center with Fitness On Demand,gym,
790,24-Hour Fitness Facility,gym,
792,"Two-Story, Fully Appointed Athletic Center with Virtual Personal Training Programs",gym,
797,24 hour state-of-the-art fitness center,gym,
826,Weekly fitness classes,gym,
832,State-of-the-art fitness center,gym,
835,"24-hour, fully-equipped fitness center",gym,
841,Fully Outfitted Fitness Center,gym,
853,Cardio Studio,gym,
868,Fitness Center,gym,
893,Enormous 24/7 fitness center with individual workout stations and virtual personal trainers and spin-bike room,gym,
894,"First class fitness center encompassing two rooms, including cardio equipment, free weights, and weight machines manufactured by Matrix",gym,
905,"Enormous 24/7 fitness center with individual workout stations and Virtual Personal Trainers, Yoga Studio, and Spin-Bike Room",gym,
907,24/7 Fitness Center,gym,
913,State-of-the-art health and wellness center including smart cardio machines and free weights,gym,
943,State-of-the-art fitness center+,gym,
976,Fitness center with cardio,gym,
1001,Fitness Center with State-of-the-Art Equipment,gym,
1024,Peloton Spin Bike and Echelon Smart Mirror,gym,
1053,Fitness center with individual workout stations and free weights,gym,
1056,"24-hour fitness center with individual workout stations, free weights and wireless entertainment system",gym,
1057,Outdoor Exercise Area with Jogging Path and Fitness Stations,gym,
1123,24-Hour fitness center,gym,
1176,Fully equipped fitness room,gym,
1197,"Enormous 24/7 fitness center with individual workout stations and virtual personal trainers, and spin-bike room",gym,
1199,24-hour fitness center with separate spinning studio featuring TechnoGym Equipment,gym,
1201,Cardio studio,gym,
1215,Virtual personal trainers,gym,
1220,High Tech fitness facility,gym,
1225,24/7 fitness center with individual workout stations,gym,
1282,"State-of-the-art health and wellness center including smart cardio machines, free weights, and boxing.",gym,
32,High-End Upscale Finishes,high-end finishes,
35,Custom color accent walls,high-end finishes,
42,Select from Two Designer Interior Finishes,high-end finishes,
196,Designer finishes,high-end finishes,
266,High-End Designer Finishes,high-end finishes,
292,High end finishes,high-end finishes,
413,"High-End, Upscale Finishes",high-end finishes,
14,Easy Freeway Access,highway access,
150,"Easy Access to State Farm, ASU and Loop 202",highway access,
13,"Wired for HDTV, gigablast internet, and digital telephone",internet,
26,Pre-Wired Throughout for Multi-Media Access,internet,
219,High Speed internet and cable television,internet,
256,Built-in desk with high speed data wiring,internet,
302,High-speed Internet access,internet,
308,"Wired for HDTV, Gigablast internet and digital telephone",internet,
317,1Gb Internet with unlimited data,internet,
412,High-speed fiber optic internet delivery,internet,
425,5G Fiber-Optic Internet,internet,
511,High-speed internet,internet,
612,"Wired for HDTV, high speed internet and digital phone",internet,
656,"High-speed, private Wi-Fi",internet,
748,High-Speed Internet Access,internet,
798,High Speed Internet,internet,
878,Wired for HDTV and digital phone,internet,
1005,High-speed and wireless internet access,internet,
1115,G1G internet speeds offered by Cox,internet,
1138,High Speed Internet Access,internet,
1200,High-speed internet access,internet,
0,Convenient Kitchen Pantry,kitchen,
5,Dining & Entertainment Nearby,kitchen,
10,Contemporary Designer Kitchens,kitchen,
20,Upgraded kitchen and bath fixtures,kitchen,
26,Luxurious Gourmet Kitchens,kitchen,
38,gourmet kitchen,kitchen,
60,Gourmet Kitchens with Gas Cooktops,kitchen,
69,Modern Kitchen Layouts with Breakfast Bars,kitchen,
70,"Gourmet, Modern Kitchens",kitchen,
127,Gourmet kitchens w/ stainless steep appliances,kitchen,
192,Fully-equipped Kitchen,kitchen,
193,Gourmet kitchen,kitchen,
199,Kitchen pantries,kitchen,
207,Convenient kitchen pantries,kitchen,
222,Convenient kitchen pantry,kitchen,
246,Private Dining Room & Chef's Kitchen,kitchen,
259,Fully-equipped kitchen,kitchen,
273,"Elegant, open gourmet kitchens",kitchen,
279,Contemporary kitchen with track lighting,kitchen,
289,Gourmet kitchens,kitchen,
373,Deluxe kitchen with breakfast bar and granite-style countertops,kitchen,
404,Lavish Bar with Demonstration Kitchen,kitchen,
817,Fully equipped kitchens with granite countertops in select apartment homes,kitchen,
831,"Gourmet kitchens with stainless steel appliances, granite countertops + designer custom cabinets",kitchen,
1,Upgraded appliances available,kitchen appliances,
51,Extensive Entertainment Kitchen with Upgraded Appliances,kitchen appliances,
174,"Upgraded GE black-on-black appliances including full-size washer and dryer, built-in microwave, refrigerator with ice maker and self-cleaning oven",kitchen appliances,
224,"Full-size washer and dryer, built-in microwave, refrigerator with ice maker and self-cleaning oven",kitchen appliances,
229,GE® Stainless-Steel Appliances including Refrigerator with Water & Ice Dispenser in Door,kitchen appliances,
436,"Dishwasher, built-in microwave, glass-top stove and refrigerator with icemaker",kitchen appliances,
609,"Top-of-the-line stainless steel appliances: glass-top stove, dishwasher, built-in microwave – side by side refrigerator with in-door ice and water",kitchen appliances,
654,"Appliances including full-size washer and dryer, built-in microwave, refrigerator with ice maker, dishwasher and self cleaning oven",kitchen appliances,
874,"Top of the line stainless steel appliances: bottom freezer refrigerator with ice maker, glass-top stove, dishwasher, built-in microwave",kitchen appliances,
900,"GE appliance package including full-size washer and dryer, built-in microwave, refrigerator with ice maker and self-cleaning oven",kitchen appliances,
946,"Whirlpool appliances including dishwasher, microwave and refrigerator with ice maker",kitchen appliances,
1032,"All-white Appliances Including Dishwasher, Microwave, and Refrigerator",kitchen appliances,
1089,"Black-on-black GE appliances  including full-size washer and dryer, built-in microwave, gas stove tops, refrigerator with ice maker",kitchen appliances,
1102,"Black-on-black appliances including dishwasher, microwave and frost-free refrigerator with icemaker",kitchen appliances,
1152,"Upgraded black-on-black GE appliances including built-in microwave, self-cleaning oven and refrigerator with ice maker",kitchen appliances,
1210,Stunning Stainless Steel and Energy Star appliances including large side by side refrigerator with water and ice,kitchen appliances,
1271,"Upgraded GE appliances including full-size washer and dryer, built-in microwave, refrigerator with ice maker and self-cleaning oven",kitchen appliances,
1283,"Dishwasher, built-in microwave, glass-top stove and refrigerator with ice maker",kitchen appliances,
16,Kitchen Islands w/ Wine Storage & Large Pot Drawers,kitchen island,
32,Functional kitchen island,kitchen island,
37,Large kitchen islands,kitchen island,
57,Oversized island countertop,kitchen island,
135,Gourmet Kitchen with Island Pendant Lighting,kitchen island,
145,Built-in Kitchen Islands,kitchen island,
336,Kitchen island with pendant lighting,kitchen island,
388,Breakfast bar on kitchen island,kitchen island,
465,Kitchen Islands or Peninsulas,kitchen island,
497,Kitchen island,kitchen island,
543,Large Eat-In Kitchen Island,kitchen island,
116,Separate laundry rooms,laundry,
129,Private Laundry Quarters in Each Home,laundry,
157,Laundry room,laundry,
27,"Custom Lighting from MP Design Shop, Hinkley’s Lighting, Barn Light Electric and Golden Lighting including LED CAN Lights throughout",lighting,
49,Canned lighting,lighting,
91,Pendant lighting,lighting,
126,Recessed can lighting,lighting,
143,Under cabinet lighting,lighting,
171,Energy smart lighting fixtures,lighting,
187,Contemporary Lighting,lighting,
261,Contemporary Track Lighting,lighting,
280,Contemporary Lighting Fixtures,lighting,
432,Custom Pendant and Track Lighting,lighting,
109,Locker rooms with saunas and showers,locker room,
7,Resident Lounge with Flat-Screen TV and Seating,lounge,
11,Open concept living areas,lounge,
18,Resident lounge equipped with flat screen TVs and pool table,lounge,
19,Resident lounge with pool table,lounge,
77,Shaded seating areas+,lounge,
110,Shaded ramadas,lounge,
118,Resident lounge & work area,lounge,
124,Rooftop lounge,lounge,
195,outdoor lounge,lounge,
247,Large Open Space with Turf,lounge,
362,Open-Concept Living Area,lounge,
369,Shaded Areas for Lounging,lounge,
422,Music/game lounge,lounge,
430,Wine Lounge,lounge,
433,Lobby Lounge w/ Hospitality Bar & Flex Work Seating Access,lounge,
438,Picnic/Ramada areas,lounge,
463,expansive tanning areas,lounge,
550,Game and Hammock Areas,lounge,
583,Designated Refuse Areas on Each Level,lounge,
39,Microwaves in Built-in Pantries,microwave,
199,Microwave,microwave,
111,"Screening room with 128"" projector",movie theater,
117,"Natural gas dryer, range and water heater with Hydronic heating",natural gas,
183,Natural gas hot water and heating,natural gas,
608,"Natural gas dryer, range and water heater with hydronic heating",natural gas,
782,"Natural gas appliances, water heater and hydronic heating system",natural gas,
137,"Walkable to Shops, Dining and Entertainment",neighborhood,
373,Located Minutes from Local Shopping and Restaurants,neighborhood,
378,Walking distance to The Heritage District,neighborhood,
430,Local Shops,neighborhood,
13,Non-Smoking Community,non-smoking,
235,Smoke free & Vape free community,non-smoking,
262,100% Smoke-Free Community,non-smoking,
354,Non-smoking community,non-smoking,
379,Non-smoking,non-smoking,
463,Smoke-Free Community,non-smoking,
543,Smoke-free community,non-smoking,
710,Non-smoking amenities,non-smoking,
3,Computer desks (select homes),office,
27,Private work-from-home suites,office,
44,"Resident Business Center with Computers, Printer, and Conference Room",office,
50,Built-in desk,office,
60,Copy and fax Services,office,
61,Work Spaces,office,
63,Cyber Café featuring both Apple & Microsoft computers with free printing available,office,
82,Custom built computer center with Internet access,office,
135,"Connect and Collaborate in our Co-Working Spaces, with a fully equipped conference room",office,
142,on-site business center with PC's & Macs & private conference rooms,office,
162,"1,100 Square Feet Coworking Center",office,
187,Business Center,office,
249,"Resident business center with printer, fax and copier",office,
250,Two Micro-Offices & Counter Laptop Seating,office,
291,Coworking Spaces,office,
347,Business Hub,office,
351,business center,office,
384,Business Center and Individual Work-From-Home Suites,office,
405,Co-Work Space with Resident Printer,office,
447,Business center with Macs & PCs,office,
485,Resident business center with computers and printer,office,
508,Resident business center,office,
531,"Resident business center with computers, printer, fax and copier",office,
588,Tech Center,office,
654,Business center,office,
59,Responsive Service Team Available 24 Hours for Emergency Maintenance,on-site management,
73,Helpful Onsite Leasing Staff,on-site management,
223,Onsite Management,on-site management,
296,24/7 Professional Maintenance,on-site management,
348,24/7 Access to Amenities,on-site management,
367,Professional on-site management,on-site management,
736,Professional managed 24/7,on-site management,
871,24-Hour On-Call Maintenance,on-site management,
903,Professional management,on-site management,
1014,Onsite management,on-site management,
125,Online Leasing & Resident Services,online leasing,
597,Online payment available,online payments,
607,Onsite rental payment,online payments,
629,Online Rental Payments,online payments,
752,Onsite Rental Payments,online payments,
1064,Online rental payments,online payments,
1207,Onsite rental payments,online payments,
11,Bright open-concept floor plans,open floor plan,
33,Loft layouts,open floor plan,
93,Spacious Floor Plans / Loft Layout,open floor plan,
177,Spacious floor plans,open floor plan,
759,Spacious floor plans with 9’ ceilings,open floor plan,
1132,Beautiful open floor plans,open floor plan,
686,Outdoor play area+,outdoor area,
1041,Outdoor game area with hammocks,outdoor area,
1212,Concept Rowers,outdoor area,
53,Expansive Outdoor Ramada Lounge with Wi-Fi Connectivity,outdoor ramada,
69,Outdoor ramadas,outdoor ramada,
163,"Outdoor Poolside Sunning Deck, Ramada & Flat-Screen TV",outdoor ramada,
233,Outdoor TVs,outdoor TV,
416,Outdoor televisions,outdoor TV,
181,Self-cleaning oven,oven,
581,Gas Range Stovetops,oven,
52,Parcel Pending package lockers,packages,
65,Amazon Locker Package System,packages,
89,24-Hour Package Concierge,packages,
96,Refrigerated package/parcel lockers,packages,
98,Package Concierge,packages,
128,Package service,packages,
151,Package Locker,packages,
424,24-hr parcel pending package service,packages,
550,24-Hour Package Locker System,packages,
702,Amazon Locker for Convenient Deliveries and Returns,packages,
715,Package Delivery Center,packages,
724,Package Service On-site management,packages,
1031,parcel pending locker,packages,
1140,Smart Package Lockers,packages,
45,Pantry,pantry,
47,Convenient pantry,pantry,
59,Large pantry,pantry,
75,Pantry (select homes),pantry,
11,Carport Parking Available,parking,
54,Secure parking located under apartment units,parking,
61,Covered Resident Parking,parking,
62,Extra Parking Available,parking,
76,Covered parking,parking,
79,Assigned Covered Parking,parking,
112,Built in carports,parking,
171,Carport,parking,
179,Covered Parking,parking,
187,Covered Parking for Every Unit,parking,
201,Carport parking included,parking,
213,Reserved Underground Parking Garage and Private Detached Garages,parking,
214,Reserved covered parking,parking,
228,Reserved Covered Parking,parking,
232,Carport parking available,parking,
245,Multilevel parking garage,parking,
406,Covered Parking For Every Unit,parking,
419,six-story parking garage with bike storage & electric car charging stations,parking,
465,Secured multilevel parking garage,parking,
468,Covered Parking Included with Every Home,parking,
504,Multi-Level Parking Garage,parking,
544,Covered Garage Parking,parking,
552,Reserved parking garages,parking,
3,Indoor/Outdoor Shared Ride Waiting Area,parks,
21,Outdoor picnic areas throughout community,parks,
30,Windrose Community Park,parks,
37,Close to Desert Vista Park with Dog Park,parks,
40,= Amenities available to all Windrose master-planned community residents,parks,
40,Pocket Parks,parks,
118,Multiple parks throughout the community,parks,
174,Surrounding neighborhood parks,parks,
352,Close to parks & recreational activities,parks,
354,Close to Park,parks,
356,Public parks nearby,parks,
501,Couryard parks,parks,
502,Over 40 neighborhood parks,parks,
549,Close to park,parks,
652,Central Park,parks,
13,Party Room with full prep kitchen and serving area; Opens to pool deck,party room,
22,Spacious Covered Patio,patio,
26,Private Patios,patio,
35,Private balcony/patio,patio,
40,Indoor/Outdoor Living with Patio/Balcony Spaces that Range from 94 to 184 SF,patio,
61,Private patio/yards,patio,
63,Private balcony,patio,
64,Private patio or balcony,patio,
106,Expansive private terraces,patio,
128,Patio/Balcony with Storage,patio,
131,Spacious balconies,patio,
160,Private balconies and patio,patio,
163,Covered patio,patio,
173,Private patio/deck,patio,
176,Spacious Private Patio/Balcony,patio,
217,Private patio/balcony with storage,patio,
223,Private Patio/Balcony,patio,
258,Covered Exterior Patio,patio,
283,Private patio/balcony,patio,
299,"Private, gated patio/courtyard",patio,
316,Turf and Patio Pavers in Backyards,patio,
372,Patio/Balcony with storage,patio,
386,Private terraces and patios,patio,
417,Patio or Balcony,patio,
437,Covered front porch and private balcony (per plan),patio,
462,Private patio or balcony with storage,patio,
591,Large private patios or balconies,patio,
604,Private Balcony or Patio,patio,
678,Private patio,patio,
730,All balconies and terraces include Janus et Cie table and chairs,patio,
742,Private Patio or Balcony,patio,
780,Private patio / balcony with storage,patio,
789,Covered Patio,patio,
844,Large Indoor/Outdoor Bar,patio,
846,large patios,patio,
858,Covered outdoor balconies with storage,patio,
890,8 Foot Industrial Sliding Doors to Patio or Balcony from Living Room and Master Bedroom,patio,
904,Private Balcony,patio,
922,Spacious covered patio,patio,
956,Private terraces (select homes),patio,
973,Extended Private Balcony or Patio,patio,
978,Patio or balcony,patio,
1036,Private patio or balcony with storage room,patio,
1065,Private Balconies,patio,
1105,Oversized patio or balcony w/ storage,patio,
1108,Personal balconies or patios,patio,
1110,Balcony or patio,patio,
1130,Personal Balconies or Patios with French Door,patio,
1153,Covered Terrace on Top Floor,patio,
1190,Ramadas with Picnic Tables,patio,
1233,Large private patios and balconies,patio,
254,Onsite courtesy patrol,patrol,
300,Courtesy patrol,patrol,
343,OnSite Courtesy Patrol,patrol,
345,Roving patrol,patrol,
508,Security Patrol,patrol,
708,Courtesy patrol services,patrol,
772,Courtesy Patrol,patrol,
482,Pet door included,pet doors,
489,Dog door,pet doors,
562,Built-in Pet Doors,pet doors,
741,Built-In Dog Door,pet doors,
753,Pet door,pet doors,
1,Self service pet spa,pet spa,
149,Dog Wash,pet spa,
154,Pet Spa,pet spa,
188,Dual Level Pet Spa,pet spa,
197,Convenient Dog Stations within community,pet spa,
218,Pampered Pooches Pet Wash,pet spa,
272,Pet park with dog spa,pet spa,
404,Pet Stations Available,pet spa,
455,Level 6 Dog Run & Attached Indoor Pet Wash Station,pet spa,
524,Dog wash station,pet spa,
670,Dog watering station+,pet spa,
189,Pet Friendly,pet-friendly,
195,Dog friendly with breed restrictions,pet-friendly,
245,Pet-Friendly,pet-friendly,
273,Pets Welcome (Some Breed & Weight Restrictions Apply),pet-friendly,
315,Pet-Friendly CommunityDogs & Cats Welcome!,pet-friendly,
333,Pets w/ limitations,pet-friendly,
374,Dog friendly with breed and weight restrictions,pet-friendly,
382,Pet-Friendly Community,pet-friendly,
532,Pet-friendly community,pet-friendly,
569,Fido Friendly,pet-friendly,
626,Pets welcome (some breed restrictions apply),pet-friendly,
697,Dog-friendly,pet-friendly,
812,Dog friendly with breed & weight restrictions,pet-friendly,
848,Indoor cats and dogs welcome with breed & weight restrictions,pet-friendly,
849,Designated dog friendly building with breed restrictions,pet-friendly,
855,Pets: dog and cat friendly with dog breed restrictions,pet-friendly,
911,Pets welcome (some breed and weight restrictions apply),pet-friendly,
960,Pet Friendly Residences with Dog Doors Leading to Yard,pet-friendly,
1004,Pet friendly community,pet-friendly,
1027,Pet-friendly,pet-friendly,
1030,Pet Friendly CommunityDog & Cats Welcome!,pet-friendly,
1051,Pets welcome (some breed & weight restrictions apply),pet-friendly,
1131,Pet friendly,pet-friendly,
1188,Pet-Friendly Apartments,pet-friendly,
1203,Breezeway,pet-friendly,
1240,Cable-ready,pet-friendly,
1254,Pets welcome,pet-friendly,
6,Orange Monster playground,playground,
7,Deluxe children's playground,playground,
25,Tot lot playground,playground,
26,"5,000-square-foot recreation",playground,
62,Tot Lot,playground,
82,Children’s Playground area with slides and fully shaded seating,playground,
137,Covered Tot lot with children's play equipment and swings,playground,
140,Spacious courtyard with children's playground and swings,playground,
181,Tot Lot/ Playground,playground,
240,Shaded Playground Area,playground,
278,Multiple playgrounds,playground,
290,Playground / tot-lot,playground,
318,Playground equipment/area,playground,
322,Tot lot with children's play equipment and swings,playground,
370,Cornhole+,playground,
380,Playground,playground,
407,Children’s Tot Lot,playground,
426,Children's playground and play lawn+,playground,
432,Sports field,playground,
528,Splash Zone children's play area,playground,
1219,Kids climbing wall,playground,
229,Single-Story Homes with Private Entrances,private entry,
339,Private Entry with Front Porch,private entry,
170,Complimentary Resident Beach Cruisers,public transportation,
204,Public Transportation Nearby,public transportation,
492,Free Street-Side Shuttle,public transportation,
298,Quartz countertops,quartz counters,
598,Premium Quartz Countertops in Kitchen and Bathroom,quartz counters,
624,Quartz countertops with tile backsplash,quartz counters,
847,Quartz kitchen countertops,quartz counters,
1106,White Quartz Kitchen Countertops,quartz counters,
1200,Quartz Countertops,quartz counters,
1251,Quartz counters,quartz counters,
1295,Quartz Tile Shower Surrounds,quartz counters,
62,Recycling Available,recycling,
113,Recycling,recycling,
39,Refigerator,refrigerator,
342,Ice maker,refrigerator,
343,Full-Size Refrigerator with Filtered Water & Ice Maker,refrigerator,
492,Upgraded Refrigerator with Filtered Water & Ice Dispenser,refrigerator,
638,French door refrigerator,refrigerator,
679,Frost free refrigerator,refrigerator,
882,Refrigerator with icemaker,refrigerator,
1088,Frost-free Refrigerator,refrigerator,
1144,Refrigerator w/ icemaker,refrigerator,
1259,Refrigerator,refrigerator,
1275,Frost Free Refrigerator,refrigerator,
84,Resident Guest Suites Available,resident guest suite,
185,Resident guest suite available,resident guest suite,
282,Resident guest suites available,resident guest suite,
492,Resident Guest Suite Available,resident guest suite,
637,Resident Guest Suites available,resident guest suite,
60,Online Resident Portal,resident portal,
67,"Roof top pool with spa, fire pit, misters and amazing views of the McDowell Mtns",rooftop deck,
142,Rooftop Deck with Camelback Views,rooftop deck,
333,Rooftop Lounge with Panoramic City and Water Views,rooftop deck,
390,Rooftop Sky Lounge,rooftop deck,
405,"Rooftop Lounge with multiple seating areas and an outdoor kitchen, BBQ,community table and one-of-a-kind views of the Heritage District to the San Tan Mountain range",rooftop deck,
122,Game room,rooms,
135,Poker room,rooms,
160,Dining room,rooms,
179,Theater room,rooms,
180,Conference rooms,rooms,
188,Surround Sound,rooms,
254,Conference room,rooms,
259,"Lounge Seating, Library, Game Area, Movie Area & Fireplace",rooms,
323,Dining room seating,rooms,
338,Game Room,rooms,
356,Theater Room,rooms,
435,Close to schools,school,
439,Two award-winning K-8 schools,school,
116,Walk-in shower in the master bedroom,shower,
150,Walk-in shower,shower,
272,Tile Showers with Luxury Glass Door Entry,shower,
290,glass framed showers,shower,
301,Fully tiled showers,shower,
410,Step-in shower stalls with glass sliding doors,shower,
590,Step-in shower stalls,shower,
939,Roman tub with sliding glass doors,shower,
1103,Step-in shower stalls with sliding glass doors,shower,
1143,Walk-in showers,shower,
1154,Walk-In Shower,shower,
48,Dual Sinks in 2-Bedroom Master,sink,
53,Eco-friendly showerheads and faucets for maximum water efficiency,sink,
129,Grohe faucets throughout,sink,
138,undermount sink,sink,
151,Farmhouse Contemporary Fixtures (Spring Kitchen Faucet | Wide-Spray Showerhead),sink,
179,Dual sinks (select homes),sink,
208,Double stainless steel sink,sink,
228,Dual sinks with designer fixtures,sink,
271,Corbin Museo lever handle hardware,sink,
276,Dual compartment stainless steel sink in kitchen,sink,
405,"Extra Deep, Undermount Stainless Steel Sinks",sink,
413,Dual sinks with raised vanities,sink,
423,Stainless under-mount sinks,sink,
489,Double stainless-steel sink,sink,
505,Stainless Steel deep single-bowl kitchen sinks,sink,
522,Walk in Showers & Dual Sinks,sink,
529,Undermount stainless steel sinks,sink,
577,Single basin sink,sink,
614,Dual-Vanity sinks,sink,
617,Gooseneck pull faucet,sink,
682,Nickel faucets and hand-held shower heads,sink,
724,Double stainless steel sinks,sink,
780,Eco-friendly shower heads and faucets for maximum water efficiency,sink,
184,Key fob access,smart entry,
228,Electronic keyless entry door system,smart entry,
253,Smart Entry Locks,smart entry,
293,Keyless Front Door Locks,smart entry,
335,Well-lit entry with doorbell,smart entry,
411,Smart lock and video doorbell,smart entry,
116,Latch Keyless Entry Technology,smart entry ,
0,Resideo Smart Home Technology Package,smart home,
17,"SMART Technology (Control Panel, Doorbell, Front Door Deadbolt, Thermostat, Motion Sensor)",smart home,
64,"Smart Home technology including digital thermostat, lighting controls, keyless door entry, door bell with camera – all controlled from a smartphone or tablet app (optional camera available)",smart home,
84,Smart-home technology,smart home,
244,Home Features,smart home,
331,"Smart home app, customizable scenes",smart home,
400,Smart Home Technology,smart home,
420,"SMART technology (control panel, doorbell, foor door deadbolt, thermostat, motion sensor)",smart home,
993,Soundproof Walls,soundproof,
138,2 Whirlpool spas,spa,
197,Private spa+,spa,
340,Whirlpool spa,spa,
346,Tranquil serenity area,spa,
402,Whirlpool Spa,spa,
415,Tranquil Outdoor Jacuzzis & Spas,spa,
459,Two whirlpool spas,spa,
478,Tranquil Outdoor Jacuzzi Spas,spa,
520,Sauna,spa,
542,Heated spa,spa,
550,whirlpool spa,spa,
29,Stainless-Steel Energy Star GE Appliances,stainless steel appliances,
69,Stunning Stainless Steel and Energy Star appliances,stainless steel appliances,
84,Stainless Steel GE Appliances,stainless steel appliances,
118,Stainless steel appliances including; range dishwasher/microwave/refrigerator/washer/dryer,stainless steel appliances,
198,GE stainless steel appliances,stainless steel appliances,
265,Stainless-Steel Appliance Packages,stainless steel appliances,
272,energy-efficient stain-less-steel appliances,stainless steel appliances,
332,Procore Equipment,stainless steel appliances,
334,Deluxe Appliance Package Featuring Stainless Steel Refrigerators,stainless steel appliances,
353,Stainless Steel Appliance Package,stainless steel appliances,
376,Stainless steel appliances in select homes,stainless steel appliances,
430,Stainless Appliances,stainless steel appliances,
448,Chef-Inspired Kitchens with Full Kenmore Stainless Steel Appliance Package,stainless steel appliances,
459,Black GE Appliances,stainless steel appliances,
480,Stainless steel appliance package,stainless steel appliances,
553,Electric Stoves,stainless steel appliances,
598,Energy-efficient stainless-steel appliances,stainless steel appliances,
615,Stainless steel appliances,stainless steel appliances,
624,Stainless steel appliances (select homes),stainless steel appliances,
663,Stainless-steel appliances,stainless steel appliances,
715,Stainless-Steel Appliances,stainless steel appliances,
739,Stainless steel GE appliances,stainless steel appliances,
807,Stainless Steel Appliances,stainless steel appliances,
53,Storage cabinets,storage,
94,Resident storage lockers located in secured area within the garage,storage,
104,Interior Residential Storage Units,storage,
148,Extra storage,storage,
225,Storage,storage,
260,Exterior Storage Space,storage,
279,Extra storage units available,storage,
349,Bicycle storage within the garage,storage,
351,Storage units,storage,
355,Storage Units Available,storage,
387,Extra Storage,storage,
434,Optional storage available,storage,
445,Optional storage units,storage,
501,Optional Detached Storage,storage,
1098,Additional Storage on Balconies & Patios,storage,
155,Private Enclosed Sunrooms with French Doors,sundeck,
187,Luxe Pool & Outdoor Sundeck Lounge,sundeck,
294,"Outdoor Poolside Sunning Deck, Ramada Flat-Screen TV",sundeck,
374,Outdoor ramada,sundeck,
392,Outdoor Poolside Sunning Deck Ramada & Flat-Screen TV,sundeck,
398,Outdoor Ramada & Lounge Seating,sundeck,
408,Large Outdoor Courtyards with Seating,sundeck,
6,"Poolside Ramada with barbecue area, flat screen TV and fire pit",swimming pool,
8,Two resort-style swimming pools and two whirlpool spas,swimming pool,
12,"Pool (w/lap lanes) with water feature, sunning deck and ramada",swimming pool,
18,"Recreation courtyard featuring palapas, satellite radio, heated pool with white sandy beach, waterfalls, whirlpool spas and ramadas",swimming pool,
20,Resort-style saltwater swimming pool with sundeck,swimming pool,
25,New resort-style swimming pool,swimming pool,
25,"Resort-style lagoon pool, sundeck, whirlpool spa, and outdoor furniture",swimming pool,
25,"Spacious Pool Area with Spa, Cabanas and Outdoor Entertainment Pavilion",swimming pool,
30,Pool and deck with lounge seating,swimming pool,
32,Poolside cabana with wet bar and flat-screen TVs,swimming pool,
33,Temperature controlled pool open 24 hours,swimming pool,
36,Spa and Cabana,swimming pool,
38,Resort-Style Swimming Pool w/ Daybeds & Integrated Planter,swimming pool,
39,Splash pad,swimming pool,
48,Heated Outdoor Swimming Pool,swimming pool,
49,Level 6 Pool Deck for Tanning,swimming pool,
52,Resort-style pool and spa,swimming pool,
52,"24-hour, resort-style swimming pool with waterfall, spa and poolside Ramadas",swimming pool,
54,Resort-Style Pool and Spa with Poolside Cabanas,swimming pool,
60,Spacious Pool Deck and Courtyard with Lounge and Hammock Seating,swimming pool,
64,Poolside cabana with wet bar and flat screen TVs,swimming pool,
68,Unique outdoor swimming pool and hot spa,swimming pool,
69,2 Resort-style swimming pools with sundeck,swimming pool,
73,Two Resort-style Pools with Water Feature and Whirlpool Spa,swimming pool,
75,Pool HouseAir Conditioned Social Space,swimming pool,
76,Two poolside cabanas with wet bar,swimming pool,
76,24-hour Resort-Style Pool with Waterfall,swimming pool,
79,"24-hour resort style pool with waterfall, whirlpool spas, poolside ramadas, and cabanas with 42"" LCD TVs",swimming pool,
83,Resort-style swimming pool,swimming pool,
87,Heated outdoor swimming pool,swimming pool,
88,4 42' flat screen TVs at the poolside cabanas,swimming pool,
88,"Resort-style lagoon pool, sundeck, whirlpool spa and outdoor furniture",swimming pool,
91,Two resort-style swimming pools with spa/hot tub,swimming pool,
91,2 Resort Style Swimming Pools,swimming pool,
94,Resort Style Pool & Spa,swimming pool,
95,2 Resort-Style Swimming Pools,swimming pool,
97,Pool swim lanes+,swimming pool,
104,Pool deck+,swimming pool,
108,Resort-Style Pool,swimming pool,
124,Pool play area with splash toys+,swimming pool,
128,Private Resort-Style Pool,swimming pool,
133,Large Spa and Resort Pool,swimming pool,
134,"24-hour, heated, lagoon-style salt water swimming pool waterfalls and spa",swimming pool,
147,Heated resort-style pool and spa,swimming pool,
150,Resort-inspired swimming pool & spa,swimming pool,
153,Heated resort-style pool,swimming pool,
165,Resort-Style Swimming Pool,swimming pool,
167,Swimming Pool,swimming pool,
